cdf_offer_id,cdf_merchant_id,offer_name,merchant_description,category,tags_with_attributes,offer_url,valid_from,valid_to,online,offer_title,Tags,city,country,brand_logos,curated_image,merchant_banner_image,offer_image,Wael,Salama,Khaleed
233888,AC2996,Airalo,"Airalo Is The World’S First Esim Store That Solves The Pain Of High Roaming Bills By Giving You Access To Esims (Digital Sim Cards). With Esims From Airalo, Download And Install A Digital Data Pack From 200+ Countries/Regions And Be Connected Anywhere In The World The Second You Land.",personal service providers,"{products_services=[mobile-network-services], establishment_type=[telecommunication], purchase_channel_tags=[online]}",https://go.arabclicks.com/aff_c?offer_id=1212&aff_id=68962,16-08-2023,31-12-2025,TRUE,Get 10% off on your purchase at Airalo,telecommunication|mobile-network-services|online,all,all,https://dpimages.crayondata.com/high-res-image/resized/airalo_logo.webp,https://dpimages.crayondata.com/high-res-image/resized/airalo_merchant.webp,https://dpimages.crayondata.com/high-res-image/resized/airalo_bnr.webp,https://dpimages.crayondata.com/high-res-image/resized/airalo_merchant.webp,,,
68730,AC2942,Aldo,Aldo offers products under apparel and accessories category. For more info about the brand visit https://www.aldoshoes.me/ae,apparel and accessories,0,https://go.arabclicks.com/aff_c?offer_id=1108&aff_id=68962,18-06-2022,31-12-2025,TRUE,Get up to 15% off on your purchase at Aldo,accessories-store|footwear-store|men's-shoes|bags-and-wallets|belts|casual-shoes|casual-bags|wallets|boots|flats|sandals|flipflops|loafers|satchels-and-shoulder-bags|clutches|western-clothing|boutique-store|modern|self-service|large-product-range|premium|international,all,all,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-logo/BO188_Aldo_Logo.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/BO188_1_Aldo_Card.webp.webp,https://dpimages.crayondata.com/high-res-image/resized/aldo_bnr.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/BO188_1_Aldo_Card.webp.webp,q4,,q3
1351,AC88,Mumzworld,"Shop online Baby Products, best Stroller, Travel Gear, Feeding, Clothes, Toys, Car Seat, Carrier & Cot on Mumzworld",apparel and accessories,"{customer_service_1_tags=[basic-service], subcategory_tags=[food-beverages-and-groceries, books-and-music, home-and-kitchen, health-and-beauty, apparel-and-accessories, toys-and-games, school-and-office-supplies], product_type=[gifts-and-souvenirs, home-furnishings, stationery, apparel-and-accessories, cosmetics-and-skincare, confectionery, toys, kids-furniture, sporting-equipment, personal-care, kitchen-appliances, kids-utilities, books], customer_service_2_tags=[large-product-range, delivery-service], store_type=[regular-retail-store], single_brand/multiple_brand=[multi-brand], purchase_channel_tags=[online]}",https://www.mumzworld.com/en/collections/,18-06-2022,31-12-2025,TRUE,Get an additional 10% off up to AED 40 on your purchase at Mumzworld,large-product-range|gifts-and-souvenirs|home-furnishings|stationery|regular-retail-store|basic-service|apparel-and-accessories|cosmetics-and-skincare|confectionery|multi-brand|food-beverages-and-groceries|toys|books-and-music|home-and-kitchen|health-and-beauty|kids-furniture|sporting-equipment|personal-care|kitchen-appliances|kids-utilities|apparel-and-accessories|toys-and-games|school-and-office-supplies|delivery-service|online|books|children's-clothings|casual-bags|home-appliances|kids-utilities|toy-ptoducts,all,all,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-logo/AC88_Mumzworld_New_Logo.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/AC88_2_Mumzworld_New_Image.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-banner/AC88_Mumzworld_New_Banner.webp.webp,https://dpimages.crayondata.com/high-res-image/resized/mumzworld_offer03_logo_1.webp,,q2,
45830,BO1047,Crocs,"A World Leader In Innovative, Casual Footwear, Crocs, Inc. Is Dedicated To The Future Of Comfort. Our Original And Most Famous Style, The Classic Clogs, Are Instantly Recognized Around The World, And For Good Reason: Since 2002, We’Ve Sold More Than 300 Million Pairs In Over 90 Countries!",apparel and accessories,"{subcategory_tags=[footwear-store], product_type_1_tags=[men-women-children-shoes], product_type_2_tags=[work-shoes, casual-shoes], product_type_3_tags=[sneakers, flipflops, sandals], store_type_tags=[regular-retail-store], purchase_channel_tags=[online-and-in-store]}",https://go.arabclicks.com/aff_c?offer_id=1106&aff_id=68962,18-06-2022,31-12-2025,TRUE,Get 10% off on your purchase at Crocs,footwear-store|men-women-children-shoes|formal-shoes|work-shoes|ethnic-shoes|loafers|flipflops|sandals|designer-label|regular-retail-store|modern|basic-service|large-product-range|average-pricing|online-and-in-store|international,all,all,https://dpimages.crayondata.com/high-res-image/resized/crocs_logo_new.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-oi/BO1047_1_Crocs_Offer.webp.webp,https://dpimages.crayondata.com/high-res-image/resized/crocs_banner.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-oi/BO1047_1_Crocs_Offer.webp.webp,q4,s3,
1700,AC53,Gap,Gap offers products under apparel and accessories category. For more info about the brand visit https://www.gap.ae/,apparel and accessories,"{subcategory_tags=[clothing-store], product_type_1_tags=[men-women-children-clothing, girl's-clothing, infant's-clothing, boy's-clothing], product_type_2_tags=[daily-clothing, winter-wear, active-and-sports-wear], ethnicity_tags=[western-clothing], product_type_3_tags=[sleep-wear, casual-wear, outerwear, swim-and-beach-wear], brand_tags=[international], store_type_tags=[regular-retail-store], purchase_channel_tags=[online-and-in-store], product_type_4_tags=[dresses, pants, jeans, t-shirts, shirts, sweaters]}",https://go.arabclicks.com/aff_c?offer_id=196&aff_id=68962,01-05-2021,31-12-2025,TRUE,Get up to 10% off on your purchase at GAP,men-women-children-clothing|girl's-clothing|daily-clothing|clothing-store|sleep-wear|casual-wear|outerwear|dresses|pants|infant's-clothing|jeans|t-shirts|shirts|regular-retail-store|international|boy's-clothing|western-clothing|online-and-in-store|winter-wear|active-and-sports-wear|swim-and-beach-wear|sweaters,all,all,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-logo/AC53_Gap_New_Logo.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/AC53_4_Gap_New_Image.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-banner/AC53_Gap_New_Banner.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-oi/AC53_2_Gap_New_Image.webp.webp,q4,q2,
7126,AD2057,Swarovski,Swarovski offers products under retail stores category. For more info about the brand visit https://www.swarovski.ae/,retail stores,"{subcategory_tags=[accessories-store], customer_service_1_tags=[basic-service], product_type_1_tags=[jewellery-and-watch-store], customer_service_2_tags=[large-product-range], product_type_2_tags=[fine-jewellery, luxury-watches], product_type_3_tags=[bracelets, rings, necklaces], brand_tags=[international], store_type_tags=[regular-retail-store], purchase_channel_tags=[online-and-in-store], product_type_4_tags=[crystals]}",https://www.swarovski.ae/,27-09-2021,31-12-2025,TRUE,Get up to 5% off on your purchase at Swarovski,large-product-range|jewellery-and-watch-store|crystals|accessories-store|bracelets|fine-jewellery|rings|online-and-in-store|luxury-watches|necklaces|regular-retail-store|international|basic-service|hair-accessories|sunglasses,all,all,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-logo/AD2057_Swarovski_New_Logo.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/AD2057_2_Swarovski_New_Image.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-banner/AD2057_Swarovski_New_Banner.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-oi/AD2057_1_Swarovski_New_Image.webp.webp,q1,,q5
17848,AC11,American Eagle,"American Eagle Outfitters, Inc. (NYSE: AEO) is a leading global specialty retailer offering high-quality, on-trend clothing, accessories and personal care products at affordable prices under its American Eagle? and Aerie? brands.",apparel and accessories,"{customer_service_1_tags=[basic-service], subcategory_tags=[accessories-store, clothing-store, footwear-store], product_type_1_tags=[men-and-women's-clothing, men-and-women's-shoes, sunglasses], customer_service_2_tags=[large-product-range], product_type_2_tags=[daily-clothing, winter-wear, occasional-clothing, casual-shoes], ethnicity_tags=[western-clothing], product_type_3_tags=[casual-wear, formal-wear, flipflops, sandals, outerwear], store_type_tags=[regular-retail-store], purchase_channel_tags=[online-and-in-store], style_tags=[modern], product_type_4_tags=[shirts, t-shirts, coats, jackets-and-blazers, sweaters, dresses]}",https://ad.admitad.com/g/bz3n4lokjfd193180536e0ae4a93d2/?i=3,11-11-2021,31-12-2025,TRUE,Get up to 8% off on your purchase at American Eagle,men-and-women's-clothing|casual-wear|regular-retail-store|shirts|daily-clothing|t-shirts|flipflops|sandals|basic-service|accessories-store|winter-wear|online-and-in-store|occasional-clothing|casual-shoes|jackets-and-blazers|outerwear|clothing-store|western-clothing|modern|men-and-women's-shoes|large-product-range|sunglasses|sweaters|dresses,all,all,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-logo/AC11_American_Eagle_New_Logo.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-oi/AC11_3_American_Eagle_New_Image.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-banner/AC11_American_Eagle_New_Banner.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-oi/AC11_3_American_Eagle_New_Image.webp.webp,q4,y,
25463,LL4,Al Mahatta Cafe - Sheraton Sharjah Beach Resort & Spa,"This refined venue serves nothing but the best Julius Meinl specialty coffee, accompanied by decadent desserts and sweet treats. Surrounded by elegant wood furnishings and muted tones, you can enjoy catching up on the latest sporting events. Al Mahattah is the perfect combination of refinement and class but also provides the weary traveler a moment to sit down, unwind or even catch up with a game.",dining,"{amenities=[outdoor-seating, live-entertainment, wheelchair-access, wifi], famous-for=[afternoon-tea], design=[modern-design], dining-type=[fine-dining], channel=[dine-in], cuisine=[middle-eastern-cuisine, arabian-cuisine], price_range=[average-pricing], payment=[accepts-cards], suitable_for_tags=[large-group-friendly, couple-friendly], customer_service_tags=[valet-parking, booking-and-reservations], restaurant-type=[cafe], restaurant-specifics=[buffet]}",,01-11-2021,19-11-2025,FALSE,Get 20% off on Food at Al Mahatta Cafe,outdoor-seating|buffet|cafe|valet-parking|live-entertainment|accepts-cards|wheelchair-access|large-group-friendly|couple-friendly|modern-design|fine-dining|average-pricing|booking-and-reservations|afternoon-tea|wifi|dine-in|international-cuisine|cafe,Sharjah,United Arab Emirates,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-logo/LL4_Al_Mahatta_Cafe_Sheraton_Sharjah_Beach_Resort_&_Spa_New_Logo.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL4_Al_Mahatta_Cafe_Sheraton_Sharjah_Beach_Resort_&_Spa_New_Image.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-banner/LL4_Al_Mahatta_Cafe_Sheraton_Sharjah_Beach_Resort_&_Spa_New_Banner.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-oi/LL40_Chapters_Mgallery_By_Sofitel_1.webp.webp,y,y,
25464,LL49,Cocina Restaurant - Jannah Burj Al Sarab Abu Dhabi,"Cocina all - day dining restaurant is the place to be for foodies with discerning palates. The culinary team prepares delectable dishes spanning across the Middle East, Asia and Europe.",dining,"{famous-for=[breakfast], dining-type=[casual-dining], channel=[dine-in, take-away], cuisine=[international-cuisine], price_range=[average-pricing], payment=[accepts-cards], suitable_for_tags=[large-group-friendly], restaurant-type=[restaurant]}",,01-11-2021,01-11-2025,FALSE,Get 20% off at Cocina Restaurant,breakfast|international-cuisine|restaurant|average-pricing|accepts-cards|dine-in|large-group-friendly|casual-dining|take-away,Abu Dhabi,United Arab Emirates,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-logo/LL49_Cocina_Restaurant_Jannah_Burj_Al_Sarab_Abu_Dhabi_New_Logo.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL49_Cocina_Restaurant_Jannah_Burj_Al_Sarab_Abu_Dhabi_New_Image.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-banner/LL49_1_Cocina_Restaurant_Banner.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL49_Cocina_Restaurant_Jannah_Burj_Al_Sarab_Abu_Dhabi_New_Image.webp.webp,,,
25465,LL56,Feta Restaurant - Jannah Marina Hotel Apartments,"Feta Restaurant will bring a renewed approach to dining experiences with their all-day dining artistic menu serving the freshest ingredients and imaginative creations by the Chef, presenting the Mediterranean fares with daring and quality dishes guaranteed to tantalize your palate.",dining,"{famous-for=[breakfast], dining-type=[casual-dining], channel=[dine-in, take-away], cuisine=[middle-eastern-cuisine, arabian-cuisine], price_range=[average-pricing], payment=[accepts-cards], suitable_for_tags=[large-group-friendly], customer_service_tags=[delivery-services, valet-parking], restaurant-type=[restaurant]}",,01-11-2021,01-11-2025,FALSE,Get 20% off at FETA Restaurant,breakfast|restaurant|middle-eastern-cuisine|average-pricing|delivery-services|valet-parking|accepts-cards|dine-in|large-group-friendly|casual-dining|take-away|arabian-cuisine|buffet,Dubai,United Arab Emirates,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-logo/LL56_Feta_Restaurant_Jannah_Marina_Hotel_Apartments_New_Logo.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL56_Feta_Restaurant_Jannah_Marina_Hotel_Apartments_New_Image.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-banner/LL56_Feta_Restaurant_Jannah_Marina_Hotel_Apartments_New_Banner.webp.webp,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-oi/LL57_FishMarket-RadissonBluHotelDubaiDeiraCreek_1.webp.webp,,,
